Range,Q24
$0-999,2128
"1,000-1,999",581
"2,000-2,999",330
"3,000-3,999",264
"4,000-4,999",279
"5,000-7,499",488
"7,500-9,999",371
"10,000-14,999",665
"15,000-19,999",449
"20,000-24,999",404
"25,000-29,999",310
"30,000-39,999",540
"40,000-49,999",552
"50,000-59,999",510
"60,000-69,999",408
"70,000-79,999",394
"80,000-89,999",273
"90,000-99,999",280
"100,000-124,999",573
"125,000-149,999",315
"150,000-199,999",347
"200,000-249,999",115
"250,000-299,999",48
"300,000-500,000",55
"> $500,000",50
